Gene	Tissue	Group
ENSCAFG00000006236	All	Expressed-In-All
ENSCAFG00000006237	All	Expressed-In-All
ENSCAFG00000006238	All	Expressed-In-All
ENSCAFG00000006241	All	Expressed-In-All
ENSCAFG00000006243	All	Expressed-In-All
ENSCAFG00000006244	All	Expressed-In-All
ENSCAFG00000006248	All	Expressed-In-All
ENSCAFG00000006249	All	Expressed-In-All
ENSCAFG00000006254	All	Expressed-In-All
ENSCAFG00000006255	All	Expressed-In-All
ENSCAFG00000006262	All	Expressed-In-All
ENSCAFG00000006266	All	Expressed-In-All
ENSCAFG00000006269	All	Expressed-In-All
ENSCAFG00000006271	All	Expressed-In-All
ENSCAFG00000006278	All	Expressed-In-All
ENSCAFG00000006290	All	Expressed-In-All
ENSCAFG00000006293	All	Expressed-In-All
ENSCAFG00000006294	All	Expressed-In-All
ENSCAFG00000006300	All	Expressed-In-All
ENSCAFG00000006302	All	Expressed-In-All
ENSCAFG00000006306	All	Expressed-In-All
ENSCAFG00000006318	All	Expressed-In-All
ENSCAFG00000006323	All	Expressed-In-All
ENSCAFG00000006325	All	Expressed-In-All
ENSCAFG00000006331	All	Expressed-In-All
ENSCAFG00000006336	All	Expressed-In-All
ENSCAFG00000006340	All	Expressed-In-All
ENSCAFG00000006351	All	Expressed-In-All
ENSCAFG00000006353	All	Expressed-In-All
ENSCAFG00000006359	All	Expressed-In-All
ENSCAFG00000006362	All	Expressed-In-All
ENSCAFG00000006372	All	Expressed-In-All
ENSCAFG00000006374	All	Expressed-In-All
ENSCAFG00000006376	All	Expressed-In-All
ENSCAFG00000006377	All	Expressed-In-All
ENSCAFG00000006378	All	Expressed-In-All
ENSCAFG00000006379	All	Expressed-In-All
ENSCAFG00000006384	All	Expressed-In-All
ENSCAFG00000006388	All	Expressed-In-All
ENSCAFG00000006392	All	Expressed-In-All
ENSCAFG00000006405	All	Expressed-In-All
ENSCAFG00000006407	All	Expressed-In-All
ENSCAFG00000006410	All	Expressed-In-All
ENSCAFG00000006411	All	Expressed-In-All
ENSCAFG00000006416	All	Expressed-In-All
ENSCAFG00000006421	All	Expressed-In-All
ENSCAFG00000006425	All	Expressed-In-All
ENSCAFG00000006426	All	Expressed-In-All
ENSCAFG00000006429	All	Expressed-In-All
ENSCAFG00000006431	All	Expressed-In-All
ENSCAFG00000006433	All	Expressed-In-All
ENSCAFG00000006434	All	Expressed-In-All
ENSCAFG00000006438	All	Expressed-In-All
ENSCAFG00000006439	All	Expressed-In-All
ENSCAFG00000006440	All	Expressed-In-All
ENSCAFG00000006441	All	Expressed-In-All
ENSCAFG00000006444	All	Expressed-In-All
ENSCAFG00000006445	All	Expressed-In-All
ENSCAFG00000006446	All	Expressed-In-All
ENSCAFG00000006447	All	Expressed-In-All
ENSCAFG00000006450	All	Expressed-In-All
ENSCAFG00000006453	All	Expressed-In-All
ENSCAFG00000006454	All	Expressed-In-All
ENSCAFG00000006455	All	Expressed-In-All
ENSCAFG00000006456	All	Expressed-In-All
ENSCAFG00000006457	All	Expressed-In-All
ENSCAFG00000006458	All	Expressed-In-All
ENSCAFG00000006459	All	Expressed-In-All
ENSCAFG00000006460	All	Expressed-In-All
ENSCAFG00000006461	All	Expressed-In-All
ENSCAFG00000006462	All	Expressed-In-All
ENSCAFG00000006471	All	Expressed-In-All
ENSCAFG00000006476	All	Expressed-In-All
ENSCAFG00000006478	All	Expressed-In-All
ENSCAFG00000006479	All	Expressed-In-All
ENSCAFG00000006486	All	Expressed-In-All
ENSCAFG00000006488	All	Expressed-In-All
ENSCAFG00000006489	All	Expressed-In-All
ENSCAFG00000006491	All	Expressed-In-All
ENSCAFG00000006493	All	Expressed-In-All
ENSCAFG00000006496	All	Expressed-In-All
ENSCAFG00000006498	All	Expressed-In-All
ENSCAFG00000006500	All	Expressed-In-All
ENSCAFG00000006502	All	Expressed-In-All
ENSCAFG00000006503	All	Expressed-In-All
ENSCAFG00000006504	All	Expressed-In-All
ENSCAFG00000006507	All	Expressed-In-All
ENSCAFG00000006508	All	Expressed-In-All
ENSCAFG00000006509	All	Expressed-In-All
ENSCAFG00000006510	All	Expressed-In-All
ENSCAFG00000006515	All	Expressed-In-All
ENSCAFG00000006518	All	Expressed-In-All
ENSCAFG00000006521	All	Expressed-In-All
ENSCAFG00000006522	All	Expressed-In-All
ENSCAFG00000006524	All	Expressed-In-All
ENSCAFG00000006527	All	Expressed-In-All
ENSCAFG00000006528	All	Expressed-In-All
ENSCAFG00000006529	All	Expressed-In-All
ENSCAFG00000006530	All	Expressed-In-All
ENSCAFG00000006534	All	Expressed-In-All
ENSCAFG00000006536	All	Expressed-In-All
ENSCAFG00000006538	All	Expressed-In-All
ENSCAFG00000006539	All	Expressed-In-All
ENSCAFG00000006541	All	Expressed-In-All
ENSCAFG00000006545	All	Expressed-In-All
ENSCAFG00000006546	All	Expressed-In-All
ENSCAFG00000006548	All	Expressed-In-All
ENSCAFG00000006551	All	Expressed-In-All
ENSCAFG00000006553	All	Expressed-In-All
ENSCAFG00000006554	All	Expressed-In-All
ENSCAFG00000006555	All	Expressed-In-All
ENSCAFG00000006556	All	Expressed-In-All
ENSCAFG00000006563	All	Expressed-In-All
ENSCAFG00000006569	All	Expressed-In-All
ENSCAFG00000006580	All	Expressed-In-All
ENSCAFG00000006588	All	Expressed-In-All
ENSCAFG00000006589	All	Expressed-In-All
ENSCAFG00000006590	All	Expressed-In-All
ENSCAFG00000006591	All	Expressed-In-All
ENSCAFG00000006593	All	Expressed-In-All
ENSCAFG00000006594	All	Expressed-In-All
ENSCAFG00000006597	All	Expressed-In-All
ENSCAFG00000006598	All	Expressed-In-All
ENSCAFG00000006601	All	Expressed-In-All
ENSCAFG00000006603	All	Expressed-In-All
ENSCAFG00000006607	All	Expressed-In-All
ENSCAFG00000006612	All	Expressed-In-All
ENSCAFG00000006616	All	Expressed-In-All
ENSCAFG00000006624	All	Expressed-In-All
ENSCAFG00000006625	All	Expressed-In-All
ENSCAFG00000006632	All	Expressed-In-All
ENSCAFG00000006633	All	Expressed-In-All
ENSCAFG00000006639	All	Expressed-In-All
ENSCAFG00000006651	All	Expressed-In-All
ENSCAFG00000006657	All	Expressed-In-All
ENSCAFG00000006660	All	Expressed-In-All
ENSCAFG00000006666	All	Expressed-In-All
ENSCAFG00000006669	All	Expressed-In-All
ENSCAFG00000006670	All	Expressed-In-All
ENSCAFG00000006678	All	Expressed-In-All
ENSCAFG00000006680	All	Expressed-In-All
ENSCAFG00000006683	All	Expressed-In-All
ENSCAFG00000006686	All	Expressed-In-All
ENSCAFG00000006689	All	Expressed-In-All
ENSCAFG00000006691	All	Expressed-In-All
ENSCAFG00000006693	All	Expressed-In-All
ENSCAFG00000006694	All	Expressed-In-All
ENSCAFG00000006699	All	Expressed-In-All
ENSCAFG00000006701	All	Expressed-In-All
ENSCAFG00000006702	All	Expressed-In-All
ENSCAFG00000006703	All	Expressed-In-All
ENSCAFG00000006707	All	Expressed-In-All
ENSCAFG00000006710	All	Expressed-In-All
ENSCAFG00000006715	All	Expressed-In-All
ENSCAFG00000006719	All	Expressed-In-All
ENSCAFG00000006720	All	Expressed-In-All
ENSCAFG00000006722	All	Expressed-In-All
ENSCAFG00000006726	All	Expressed-In-All
ENSCAFG00000006730	All	Expressed-In-All
ENSCAFG00000006733	All	Expressed-In-All
ENSCAFG00000006734	All	Expressed-In-All
ENSCAFG00000006740	All	Expressed-In-All
ENSCAFG00000006743	All	Expressed-In-All
ENSCAFG00000006752	All	Expressed-In-All
ENSCAFG00000006754	All	Expressed-In-All
ENSCAFG00000006755	All	Expressed-In-All
ENSCAFG00000006757	All	Expressed-In-All
ENSCAFG00000006759	All	Expressed-In-All
ENSCAFG00000006761	All	Expressed-In-All
ENSCAFG00000006764	All	Expressed-In-All
ENSCAFG00000006766	All	Expressed-In-All
ENSCAFG00000006776	All	Expressed-In-All
ENSCAFG00000006782	All	Expressed-In-All
ENSCAFG00000006783	All	Expressed-In-All
ENSCAFG00000006788	All	Expressed-In-All
ENSCAFG00000006789	All	Expressed-In-All
ENSCAFG00000006790	All	Expressed-In-All
ENSCAFG00000006794	All	Expressed-In-All
ENSCAFG00000006795	All	Expressed-In-All
ENSCAFG00000006799	All	Expressed-In-All
ENSCAFG00000006804	All	Expressed-In-All
ENSCAFG00000006809	All	Expressed-In-All
ENSCAFG00000006810	All	Expressed-In-All
ENSCAFG00000006813	All	Expressed-In-All
ENSCAFG00000006815	All	Expressed-In-All
ENSCAFG00000006816	All	Expressed-In-All
ENSCAFG00000006818	All	Expressed-In-All
ENSCAFG00000006819	All	Expressed-In-All
ENSCAFG00000006821	All	Expressed-In-All
ENSCAFG00000006824	All	Expressed-In-All
ENSCAFG00000006831	All	Expressed-In-All
ENSCAFG00000006832	All	Expressed-In-All
ENSCAFG00000006834	All	Expressed-In-All
ENSCAFG00000006838	All	Expressed-In-All
ENSCAFG00000006847	All	Expressed-In-All
ENSCAFG00000006848	All	Expressed-In-All
ENSCAFG00000006851	All	Expressed-In-All
ENSCAFG00000006856	All	Expressed-In-All
ENSCAFG00000006857	All	Expressed-In-All
ENSCAFG00000006859	All	Expressed-In-All
ENSCAFG00000006864	All	Expressed-In-All
ENSCAFG00000006867	All	Expressed-In-All
ENSCAFG00000006869	All	Expressed-In-All
ENSCAFG00000006870	All	Expressed-In-All
ENSCAFG00000006873	All	Expressed-In-All
ENSCAFG00000006874	All	Expressed-In-All
ENSCAFG00000006878	All	Expressed-In-All
ENSCAFG00000006884	All	Expressed-In-All
ENSCAFG00000006887	All	Expressed-In-All
ENSCAFG00000006889	All	Expressed-In-All
ENSCAFG00000006897	All	Expressed-In-All
ENSCAFG00000006898	All	Expressed-In-All
ENSCAFG00000006901	All	Expressed-In-All
ENSCAFG00000006905	All	Expressed-In-All
ENSCAFG00000006910	All	Expressed-In-All
ENSCAFG00000006916	All	Expressed-In-All
ENSCAFG00000006917	All	Expressed-In-All
ENSCAFG00000006921	All	Expressed-In-All
ENSCAFG00000006927	All	Expressed-In-All
ENSCAFG00000006929	All	Expressed-In-All
ENSCAFG00000006933	All	Expressed-In-All
ENSCAFG00000006936	All	Expressed-In-All
ENSCAFG00000006938	All	Expressed-In-All
ENSCAFG00000006945	All	Expressed-In-All
ENSCAFG00000006946	All	Expressed-In-All
ENSCAFG00000006947	All	Expressed-In-All
ENSCAFG00000006950	All	Expressed-In-All
ENSCAFG00000006952	All	Expressed-In-All
ENSCAFG00000006960	All	Expressed-In-All
ENSCAFG00000006963	All	Expressed-In-All
ENSCAFG00000006964	All	Expressed-In-All
ENSCAFG00000006966	All	Expressed-In-All
ENSCAFG00000006968	All	Expressed-In-All
ENSCAFG00000006970	All	Expressed-In-All
ENSCAFG00000006975	All	Expressed-In-All
ENSCAFG00000006979	All	Expressed-In-All
ENSCAFG00000006981	All	Expressed-In-All
ENSCAFG00000006985	All	Expressed-In-All
ENSCAFG00000006988	All	Expressed-In-All
ENSCAFG00000006992	All	Expressed-In-All
ENSCAFG00000006994	All	Expressed-In-All
ENSCAFG00000007000	All	Expressed-In-All
ENSCAFG00000007009	All	Expressed-In-All
ENSCAFG00000007010	All	Expressed-In-All
ENSCAFG00000007011	All	Expressed-In-All
ENSCAFG00000007015	All	Expressed-In-All
ENSCAFG00000007016	All	Expressed-In-All
ENSCAFG00000007018	All	Expressed-In-All
ENSCAFG00000007026	All	Expressed-In-All
ENSCAFG00000007028	All	Expressed-In-All
ENSCAFG00000007035	All	Expressed-In-All
ENSCAFG00000007038	All	Expressed-In-All
ENSCAFG00000007040	All	Expressed-In-All
ENSCAFG00000007044	All	Expressed-In-All
ENSCAFG00000007045	All	Expressed-In-All
ENSCAFG00000007049	All	Expressed-In-All
ENSCAFG00000007053	All	Expressed-In-All
ENSCAFG00000007054	All	Expressed-In-All
ENSCAFG00000007055	All	Expressed-In-All
ENSCAFG00000007056	All	Expressed-In-All
ENSCAFG00000007061	All	Expressed-In-All
ENSCAFG00000007067	All	Expressed-In-All
ENSCAFG00000007069	All	Expressed-In-All
ENSCAFG00000007070	All	Expressed-In-All
ENSCAFG00000007074	All	Expressed-In-All
ENSCAFG00000007083	All	Expressed-In-All
ENSCAFG00000007086	All	Expressed-In-All
ENSCAFG00000007088	All	Expressed-In-All
ENSCAFG00000007100	All	Expressed-In-All
ENSCAFG00000007103	All	Expressed-In-All
ENSCAFG00000007104	All	Expressed-In-All
ENSCAFG00000007105	All	Expressed-In-All
ENSCAFG00000007112	All	Expressed-In-All
ENSCAFG00000007113	All	Expressed-In-All
ENSCAFG00000007114	All	Expressed-In-All
ENSCAFG00000007115	All	Expressed-In-All
ENSCAFG00000007116	All	Expressed-In-All
ENSCAFG00000007117	All	Expressed-In-All
ENSCAFG00000007127	All	Expressed-In-All
ENSCAFG00000007130	All	Expressed-In-All
ENSCAFG00000007131	All	Expressed-In-All
ENSCAFG00000007132	All	Expressed-In-All
ENSCAFG00000007133	All	Expressed-In-All
ENSCAFG00000007135	All	Expressed-In-All
ENSCAFG00000007139	All	Expressed-In-All
ENSCAFG00000007143	All	Expressed-In-All
ENSCAFG00000007145	All	Expressed-In-All
ENSCAFG00000007148	All	Expressed-In-All
ENSCAFG00000007150	All	Expressed-In-All
ENSCAFG00000007151	All	Expressed-In-All
ENSCAFG00000007152	All	Expressed-In-All
ENSCAFG00000007153	All	Expressed-In-All
ENSCAFG00000007155	All	Expressed-In-All
ENSCAFG00000007156	All	Expressed-In-All
ENSCAFG00000007157	All	Expressed-In-All
ENSCAFG00000007160	All	Expressed-In-All
ENSCAFG00000007162	All	Expressed-In-All
ENSCAFG00000007163	All	Expressed-In-All
ENSCAFG00000007167	All	Expressed-In-All
ENSCAFG00000007168	All	Expressed-In-All
ENSCAFG00000007169	All	Expressed-In-All
ENSCAFG00000007170	All	Expressed-In-All
ENSCAFG00000007172	All	Expressed-In-All
ENSCAFG00000007174	All	Expressed-In-All
ENSCAFG00000007175	All	Expressed-In-All
ENSCAFG00000007178	All	Expressed-In-All
ENSCAFG00000007179	All	Expressed-In-All
ENSCAFG00000007186	All	Expressed-In-All
ENSCAFG00000007191	All	Expressed-In-All
ENSCAFG00000007194	All	Expressed-In-All
ENSCAFG00000007197	All	Expressed-In-All
ENSCAFG00000007200	All	Expressed-In-All
ENSCAFG00000007203	All	Expressed-In-All
ENSCAFG00000007205	All	Expressed-In-All
ENSCAFG00000007207	All	Expressed-In-All
ENSCAFG00000007211	All	Expressed-In-All
ENSCAFG00000007215	All	Expressed-In-All
ENSCAFG00000007219	All	Expressed-In-All
ENSCAFG00000007222	All	Expressed-In-All
ENSCAFG00000007230	All	Expressed-In-All
ENSCAFG00000007231	All	Expressed-In-All
ENSCAFG00000007234	All	Expressed-In-All
ENSCAFG00000007235	All	Expressed-In-All
ENSCAFG00000007237	All	Expressed-In-All
ENSCAFG00000007238	All	Expressed-In-All
ENSCAFG00000007240	All	Expressed-In-All
ENSCAFG00000007248	All	Expressed-In-All
ENSCAFG00000007250	All	Expressed-In-All
ENSCAFG00000007253	All	Expressed-In-All
ENSCAFG00000007254	All	Expressed-In-All
ENSCAFG00000007258	All	Expressed-In-All
ENSCAFG00000007259	All	Expressed-In-All
ENSCAFG00000007260	All	Expressed-In-All
ENSCAFG00000007264	All	Expressed-In-All
ENSCAFG00000007266	All	Expressed-In-All
ENSCAFG00000007270	All	Expressed-In-All
ENSCAFG00000007273	All	Expressed-In-All
ENSCAFG00000007279	All	Expressed-In-All
ENSCAFG00000007282	All	Expressed-In-All
ENSCAFG00000007292	All	Expressed-In-All
ENSCAFG00000007295	All	Expressed-In-All
ENSCAFG00000007298	All	Expressed-In-All
ENSCAFG00000007301	All	Expressed-In-All
ENSCAFG00000007302	All	Expressed-In-All
ENSCAFG00000007303	All	Expressed-In-All
ENSCAFG00000007313	All	Expressed-In-All
ENSCAFG00000007315	All	Expressed-In-All
ENSCAFG00000007317	All	Expressed-In-All
ENSCAFG00000007330	All	Expressed-In-All
ENSCAFG00000007331	All	Expressed-In-All
ENSCAFG00000007339	All	Expressed-In-All
ENSCAFG00000007340	All	Expressed-In-All
ENSCAFG00000007342	All	Expressed-In-All
ENSCAFG00000007343	All	Expressed-In-All
ENSCAFG00000007346	All	Expressed-In-All
ENSCAFG00000007350	All	Expressed-In-All
ENSCAFG00000007353	All	Expressed-In-All
ENSCAFG00000007355	All	Expressed-In-All
ENSCAFG00000007357	All	Expressed-In-All
ENSCAFG00000007358	All	Expressed-In-All
ENSCAFG00000007359	All	Expressed-In-All
ENSCAFG00000007367	All	Expressed-In-All
ENSCAFG00000007368	All	Expressed-In-All
ENSCAFG00000007372	All	Expressed-In-All
ENSCAFG00000007373	All	Expressed-In-All
ENSCAFG00000007374	All	Expressed-In-All
ENSCAFG00000007375	All	Expressed-In-All
ENSCAFG00000007377	All	Expressed-In-All
ENSCAFG00000007380	All	Expressed-In-All
ENSCAFG00000007383	All	Expressed-In-All
ENSCAFG00000007386	All	Expressed-In-All
ENSCAFG00000007387	All	Expressed-In-All
ENSCAFG00000007390	All	Expressed-In-All
ENSCAFG00000007394	All	Expressed-In-All
ENSCAFG00000007396	All	Expressed-In-All
ENSCAFG00000007403	All	Expressed-In-All
ENSCAFG00000007405	All	Expressed-In-All
ENSCAFG00000007406	All	Expressed-In-All
ENSCAFG00000007410	All	Expressed-In-All
ENSCAFG00000007411	All	Expressed-In-All
ENSCAFG00000007415	All	Expressed-In-All
ENSCAFG00000007416	All	Expressed-In-All
ENSCAFG00000007417	All	Expressed-In-All
ENSCAFG00000007420	All	Expressed-In-All
ENSCAFG00000007424	All	Expressed-In-All
ENSCAFG00000007425	All	Expressed-In-All
ENSCAFG00000007427	All	Expressed-In-All
ENSCAFG00000007428	All	Expressed-In-All
ENSCAFG00000007431	All	Expressed-In-All
ENSCAFG00000007434	All	Expressed-In-All
ENSCAFG00000007436	All	Expressed-In-All
ENSCAFG00000007442	All	Expressed-In-All
ENSCAFG00000007443	All	Expressed-In-All
ENSCAFG00000007449	All	Expressed-In-All
ENSCAFG00000007450	All	Expressed-In-All
ENSCAFG00000007451	All	Expressed-In-All
ENSCAFG00000007452	All	Expressed-In-All
ENSCAFG00000007455	All	Expressed-In-All
ENSCAFG00000007457	All	Expressed-In-All
ENSCAFG00000007460	All	Expressed-In-All
ENSCAFG00000007463	All	Expressed-In-All
ENSCAFG00000007467	All	Expressed-In-All
ENSCAFG00000007468	All	Expressed-In-All
ENSCAFG00000007473	All	Expressed-In-All
ENSCAFG00000007475	All	Expressed-In-All
ENSCAFG00000007476	All	Expressed-In-All
ENSCAFG00000007478	All	Expressed-In-All
ENSCAFG00000007479	All	Expressed-In-All
ENSCAFG00000007482	All	Expressed-In-All
ENSCAFG00000007489	All	Expressed-In-All
ENSCAFG00000007490	All	Expressed-In-All
ENSCAFG00000007492	All	Expressed-In-All
ENSCAFG00000007493	All	Expressed-In-All
ENSCAFG00000007494	All	Expressed-In-All
ENSCAFG00000007498	All	Expressed-In-All
ENSCAFG00000007500	All	Expressed-In-All
ENSCAFG00000007501	All	Expressed-In-All
ENSCAFG00000007503	All	Expressed-In-All
ENSCAFG00000007510	All	Expressed-In-All
ENSCAFG00000007512	All	Expressed-In-All
ENSCAFG00000007515	All	Expressed-In-All
ENSCAFG00000007516	All	Expressed-In-All
ENSCAFG00000007519	All	Expressed-In-All
ENSCAFG00000007520	All	Expressed-In-All
ENSCAFG00000007522	All	Expressed-In-All
ENSCAFG00000007523	All	Expressed-In-All
ENSCAFG00000007524	All	Expressed-In-All
ENSCAFG00000007525	All	Expressed-In-All
ENSCAFG00000007528	All	Expressed-In-All
ENSCAFG00000007532	All	Expressed-In-All
ENSCAFG00000007533	All	Expressed-In-All
ENSCAFG00000007534	All	Expressed-In-All
ENSCAFG00000007537	All	Expressed-In-All
ENSCAFG00000007539	All	Expressed-In-All
ENSCAFG00000007541	All	Expressed-In-All
ENSCAFG00000007546	All	Expressed-In-All
ENSCAFG00000007547	All	Expressed-In-All
ENSCAFG00000007553	All	Expressed-In-All
ENSCAFG00000007555	All	Expressed-In-All
ENSCAFG00000007558	All	Expressed-In-All
ENSCAFG00000007560	All	Expressed-In-All
ENSCAFG00000007563	All	Expressed-In-All
ENSCAFG00000007564	All	Expressed-In-All
ENSCAFG00000007566	All	Expressed-In-All
ENSCAFG00000007569	All	Expressed-In-All
ENSCAFG00000007571	All	Expressed-In-All
ENSCAFG00000007573	All	Expressed-In-All
ENSCAFG00000007575	All	Expressed-In-All
ENSCAFG00000007576	All	Expressed-In-All
ENSCAFG00000007579	All	Expressed-In-All
ENSCAFG00000007580	All	Expressed-In-All
ENSCAFG00000007581	All	Expressed-In-All
ENSCAFG00000007582	All	Expressed-In-All
ENSCAFG00000007584	All	Expressed-In-All
ENSCAFG00000007588	All	Expressed-In-All
ENSCAFG00000007590	All	Expressed-In-All
ENSCAFG00000007591	All	Expressed-In-All
ENSCAFG00000007593	All	Expressed-In-All
ENSCAFG00000007596	All	Expressed-In-All
ENSCAFG00000007597	All	Expressed-In-All
ENSCAFG00000007602	All	Expressed-In-All
ENSCAFG00000007603	All	Expressed-In-All
ENSCAFG00000007604	All	Expressed-In-All
ENSCAFG00000007606	All	Expressed-In-All
ENSCAFG00000007608	All	Expressed-In-All
ENSCAFG00000007610	All	Expressed-In-All
ENSCAFG00000007613	All	Expressed-In-All
ENSCAFG00000007616	All	Expressed-In-All
ENSCAFG00000007617	All	Expressed-In-All
ENSCAFG00000007620	All	Expressed-In-All
ENSCAFG00000007622	All	Expressed-In-All
ENSCAFG00000007624	All	Expressed-In-All
ENSCAFG00000007626	All	Expressed-In-All
ENSCAFG00000007629	All	Expressed-In-All
ENSCAFG00000007630	All	Expressed-In-All
ENSCAFG00000007636	All	Expressed-In-All
ENSCAFG00000007637	All	Expressed-In-All
ENSCAFG00000007638	All	Expressed-In-All
ENSCAFG00000007650	All	Expressed-In-All
ENSCAFG00000007653	All	Expressed-In-All
ENSCAFG00000007659	All	Expressed-In-All
ENSCAFG00000007661	All	Expressed-In-All
ENSCAFG00000007664	All	Expressed-In-All
ENSCAFG00000007665	All	Expressed-In-All
ENSCAFG00000007666	All	Expressed-In-All
ENSCAFG00000007667	All	Expressed-In-All
ENSCAFG00000007668	All	Expressed-In-All
ENSCAFG00000007669	All	Expressed-In-All
ENSCAFG00000007670	All	Expressed-In-All
ENSCAFG00000007671	All	Expressed-In-All
ENSCAFG00000007672	All	Expressed-In-All
ENSCAFG00000007674	All	Expressed-In-All
ENSCAFG00000007675	All	Expressed-In-All
ENSCAFG00000007679	All	Expressed-In-All
ENSCAFG00000007680	All	Expressed-In-All
ENSCAFG00000007681	All	Expressed-In-All
ENSCAFG00000007685	All	Expressed-In-All
ENSCAFG00000007689	All	Expressed-In-All
ENSCAFG00000007692	All	Expressed-In-All
ENSCAFG00000007694	All	Expressed-In-All
ENSCAFG00000007695	All	Expressed-In-All
ENSCAFG00000007720	All	Expressed-In-All
ENSCAFG00000007731	All	Expressed-In-All
ENSCAFG00000007738	All	Expressed-In-All
ENSCAFG00000007742	All	Expressed-In-All
ENSCAFG00000007745	All	Expressed-In-All
ENSCAFG00000007746	All	Expressed-In-All
ENSCAFG00000007748	All	Expressed-In-All
ENSCAFG00000007750	All	Expressed-In-All
ENSCAFG00000007751	All	Expressed-In-All
ENSCAFG00000007753	All	Expressed-In-All
ENSCAFG00000007754	All	Expressed-In-All
ENSCAFG00000007760	All	Expressed-In-All
ENSCAFG00000007761	All	Expressed-In-All
ENSCAFG00000007764	All	Expressed-In-All
ENSCAFG00000007766	All	Expressed-In-All
ENSCAFG00000007767	All	Expressed-In-All
ENSCAFG00000007768	All	Expressed-In-All
ENSCAFG00000007770	All	Expressed-In-All
ENSCAFG00000007771	All	Expressed-In-All
ENSCAFG00000007773	All	Expressed-In-All
ENSCAFG00000007775	All	Expressed-In-All
ENSCAFG00000007777	All	Expressed-In-All
ENSCAFG00000007778	All	Expressed-In-All
ENSCAFG00000007779	All	Expressed-In-All
ENSCAFG00000007783	All	Expressed-In-All
ENSCAFG00000007785	All	Expressed-In-All
ENSCAFG00000007786	All	Expressed-In-All
ENSCAFG00000007788	All	Expressed-In-All
ENSCAFG00000007789	All	Expressed-In-All
ENSCAFG00000007792	All	Expressed-In-All
ENSCAFG00000007795	All	Expressed-In-All
ENSCAFG00000007801	All	Expressed-In-All
ENSCAFG00000007805	All	Expressed-In-All
ENSCAFG00000007808	All	Expressed-In-All
ENSCAFG00000007809	All	Expressed-In-All
ENSCAFG00000007810	All	Expressed-In-All
ENSCAFG00000007812	All	Expressed-In-All
ENSCAFG00000007813	All	Expressed-In-All
ENSCAFG00000007814	All	Expressed-In-All
ENSCAFG00000007815	All	Expressed-In-All
ENSCAFG00000007817	All	Expressed-In-All
ENSCAFG00000007822	All	Expressed-In-All
ENSCAFG00000007825	All	Expressed-In-All
ENSCAFG00000007831	All	Expressed-In-All
ENSCAFG00000007832	All	Expressed-In-All
ENSCAFG00000007839	All	Expressed-In-All
ENSCAFG00000007847	All	Expressed-In-All
ENSCAFG00000007852	All	Expressed-In-All
ENSCAFG00000007853	All	Expressed-In-All
ENSCAFG00000007854	All	Expressed-In-All
ENSCAFG00000007859	All	Expressed-In-All
ENSCAFG00000007860	All	Expressed-In-All
ENSCAFG00000007863	All	Expressed-In-All
ENSCAFG00000007865	All	Expressed-In-All
ENSCAFG00000007867	All	Expressed-In-All
ENSCAFG00000007868	All	Expressed-In-All
ENSCAFG00000007870	All	Expressed-In-All
ENSCAFG00000007871	All	Expressed-In-All
ENSCAFG00000007872	All	Expressed-In-All
ENSCAFG00000007874	All	Expressed-In-All
ENSCAFG00000007875	All	Expressed-In-All
ENSCAFG00000007878	All	Expressed-In-All
ENSCAFG00000007880	All	Expressed-In-All
ENSCAFG00000007884	All	Expressed-In-All
ENSCAFG00000007885	All	Expressed-In-All
ENSCAFG00000007887	All	Expressed-In-All
ENSCAFG00000007889	All	Expressed-In-All
ENSCAFG00000007890	All	Expressed-In-All
ENSCAFG00000007895	All	Expressed-In-All
ENSCAFG00000007898	All	Expressed-In-All
ENSCAFG00000007900	All	Expressed-In-All
ENSCAFG00000007902	All	Expressed-In-All
ENSCAFG00000007903	All	Expressed-In-All
ENSCAFG00000007905	All	Expressed-In-All
ENSCAFG00000007906	All	Expressed-In-All
ENSCAFG00000007907	All	Expressed-In-All
ENSCAFG00000007909	All	Expressed-In-All
ENSCAFG00000007912	All	Expressed-In-All
ENSCAFG00000007913	All	Expressed-In-All
ENSCAFG00000007914	All	Expressed-In-All
ENSCAFG00000007918	All	Expressed-In-All
ENSCAFG00000007919	All	Expressed-In-All
ENSCAFG00000007927	All	Expressed-In-All
ENSCAFG00000007928	All	Expressed-In-All
ENSCAFG00000007929	All	Expressed-In-All
ENSCAFG00000007932	All	Expressed-In-All
ENSCAFG00000007933	All	Expressed-In-All
ENSCAFG00000007935	All	Expressed-In-All
ENSCAFG00000007947	All	Expressed-In-All
ENSCAFG00000007952	All	Expressed-In-All
ENSCAFG00000007953	All	Expressed-In-All
ENSCAFG00000007954	All	Expressed-In-All
ENSCAFG00000007959	All	Expressed-In-All
ENSCAFG00000007965	All	Expressed-In-All
ENSCAFG00000007967	All	Expressed-In-All
ENSCAFG00000007971	All	Expressed-In-All
ENSCAFG00000007973	All	Expressed-In-All
ENSCAFG00000007975	All	Expressed-In-All
ENSCAFG00000007976	All	Expressed-In-All
ENSCAFG00000007982	All	Expressed-In-All
ENSCAFG00000007987	All	Expressed-In-All
ENSCAFG00000008000	All	Expressed-In-All
ENSCAFG00000008016	All	Expressed-In-All
ENSCAFG00000008019	All	Expressed-In-All
ENSCAFG00000008021	All	Expressed-In-All
ENSCAFG00000008031	All	Expressed-In-All
ENSCAFG00000008033	All	Expressed-In-All
