gene_id	CL	CR	CO	KI	LI	LU	MG	OV	PA	SP	ST
ENSCAFG00000000049	0	0.041256117	0	0	0	0	0	0.02057352	0	0	0
ENSCAFG00000000051	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000000052	1.780517722	2.065069928	10.62052486	0.805889031	0.144205769	1.047183559	1.468245805	2.23366213	3.69657754	3.965232369	7.646649795
ENSCAFG00000000054	0	0	0	0	1.618324607	0	0	0	0	0	0
ENSCAFG00000000056	29.23225869	7.823023565	0.082446669	0.156116182	0.426649215	0.011172962	0.056082229	0.171130898	1.574050802	1.26292369	0.18064709
ENSCAFG00000000058	0.786581492	1.009782607	8.882237793	5.552428005	1.297366146	6.105667273	16.72491891	5.618656505	8.313542781	2.445086335	5.958024799
ENSCAFG00000000059	0	0	0.017345679	0.689777478	0.044136126	0.19452427	0.190467398	0.024371973	0.105187166	0.483524007	0
ENSCAFG00000000060	13.19269148	13.55399954	7.399291625	4.899323339	4.228185321	6.577525964	45.13650524	5.220921829	3.080481283	2.039543987	11.95809136
ENSCAFG00000000061	10.75748408	13.44473791	19.24001468	32.0562821	61.18072014	9.679568178	17.57215769	14.74555085	35.34664439	12.70015098	15.64146879
ENSCAFG00000000062	0	0	0	0.057257053	0	0	0	0	0	0	0
ENSCAFG00000000063	4.757674244	5.862542739	5.648565677	7.266830607	35.22021189	3.103339353	2.846786322	3.845288939	1.175842246	3.790359293	2.253678775
ENSCAFG00000000064	69.51465264	67.30084912	213.127952	213.5442766	337.7898002	337.1844808	169.3887573	124.9375927	302.206484	211.0333982	166.323383
ENSCAFG00000000065	8.020401546	6.561264655	0.760647092	1.313511946	0.198820755	1.392909739	1.104528896	1.299893001	0.375668449	2.585852362	1.017159552
ENSCAFG00000000066	13.13422287	11.55986069	31.14752642	20.14430474	20.02385237	15.96437493	28.33080631	18.30323733	32.46902406	24.3970425	22.27878522
ENSCAFG00000000067	4.964663909	4.677547414	15.62173729	8.493555557	28.65579596	5.87722619	38.08276334	6.540866994	5.574919786	3.188760968	10.21262632
ENSCAFG00000000068	3.42487663	3.216006595	3.232421978	3.181497637	0.986539563	2.542200323	11.9984338	15.33638214	9.530708556	5.125993733	1.890554418
ENSCAFG00000000069	17.65928536	15.20055467	17.55588989	13.69792275	17.8709671	27.78144138	18.55286185	18.19564601	14.87647059	22.27263787	20.2036619
ENSCAFG00000000070	13.5823248	15.40318761	14.16695051	5.862697793	5.196196039	9.231021806	6.043590187	5.805940854	7.103890374	4.683902446	6.290437059
ENSCAFG00000000071	6.787600428	6.736155934	27.68623524	30.40680429	55.80305245	35.45930257	27.98588405	15.52995714	86.50893048	29.73293952	25.74689909
ENSCAFG00000000072	2.768736709	2.404626968	1.370714937	1.501417318	0.806664032	5.627891357	5.808778701	3.728422062	1.149545455	2.228532379	2.33485144
ENSCAFG00000000073	5.210877145	4.003161763	6.164560561	3.57716236	6.482528154	8.110640358	6.51997281	4.667230013	5.488516043	7.796964823	6.176181783
ENSCAFG00000000074	0.817468673	0.646960769	1.393967523	3.130812936	24.09547935	4.666510153	3.964542526	7.316553454	1.442566845	3.227990031	2.929344908
ENSCAFG00000000075	0.501978657	0.319082713	7.192237348	0.735053681	0.874256149	1.957945353	4.539983963	0.950137424	0.631122995	4.249146755	0.427912588
ENSCAFG00000000076	19.14445907	18.72247425	20.46105672	21.16902115	72.75930529	15.65019868	17.71863626	14.57559157	31.90552139	13.75099751	17.11547514
ENSCAFG00000000078	2.888477287	3.804497904	34.93091592	6.059891175	4.569129952	11.77547016	10.86837007	7.959586255	3.016617647	13.58823462	7.307160855
ENSCAFG00000000079	12.83828603	10.25632391	15.67139907	8.786618562	6.661987306	6.811103922	8.942721221	6.267129171	10.03034759	5.663914315	9.409335914
ENSCAFG00000000080	0.06316097	0.027504078	0.075195863	0.149018955	0.341569199	0.033518887	0.249610693	0.235068656	0.202860963	0.063102012	0.048769834
ENSCAFG00000000081	0.225782549	0.087096248	0.94407374	0.445094288	0	0.374227052	0.732821098	0.788554221	0.210374332	0.376477901	0.478338296
ENSCAFG00000000082	0.582790402	0.811682433	2.876569903	3.417645898	4.135749284	3.852868377	2.444925322	3.27606529	2.302847594	9.262605092	3.804639671
ENSCAFG00000000083	8.843342964	3.287128675	14.44829429	6.832713061	5.970521338	4.822947128	6.777958851	5.798409834	15.22584225	3.809606548	4.54537292
ENSCAFG00000000086	7.130219718	7.813571367	0.044817484	0	0	0.007798335	0	0.02057352	0.830227273	0	0.01472856
